Global_Sales
1786.56
1110.32
727.46
607.5
474.72
399.54
340.77
283.64
272.99
254.09
245.79
200.89
157.22
153.89000000000001
145.18
119.96000000000001
98.98
87.34
82.14
69.85
64.14
58.21
57.65
55.91
53.55
47.87
43.87
34.66
33.74
25.67
25.23
24.13
23.89
23.01
20.97
17.77
17.4
17.31
16.34
16.08
15.22
14.28
13.32
12.87
12.74
12.17
11.29
10.89
10.120000000000001
9.93
8.68
8.31
7.74
7.65
7.51
7.39
7.27
6.96
6.82
6.66
6.35
6.15
5.24
4.970000000000001
4.97
4.95
4.82
4.82
4.72
4.71
4.61
4.46
4.44
4.36
4.3100000000000005
4.27
4.17
4.17
4.07
4.0200000000000005
3.79
3.77
3.72
3.69
3.69
3.64
3.61
3.59
3.5300000000000002
3.52
3.5100000000000002
3.46
3.45
3.39
3.32
3.29
3.23
3.15
3.06
3.0
3.0
2.91
2.89
2.84
2.8
2.79
2.73
2.72
2.72
2.7
2.65
2.63
2.5900000000000003
2.59
2.58
2.46
2.45
2.33
2.32
2.25
2.23
2.23
2.22
2.18
2.04
2.02
2.02
2.0
1.96
1.9400000000000002
1.9400000000000002
1.94
1.94
1.89
1.84
1.82
1.8
1.74
1.73
1.71
1.69
1.69
1.6800000000000002
1.6400000000000001
1.6300000000000001
1.6300000000000001
1.6
1.58
1.57
1.56
1.56
1.55
1.55
1.49
1.48
1.47
1.46
1.46
1.42
1.42
1.42
1.3800000000000001
1.3800000000000001
1.37
1.33
1.32
1.28
1.25
1.23
1.2100000000000002
1.21
1.2
1.2
1.19
1.1800000000000002
1.1800000000000002
1.18
1.15
1.15
1.1
1.1
1.08
1.07
1.07
1.05
1.03
1.0
0.9600000000000001
0.9600000000000001
0.9600000000000001
0.96
0.9500000000000001
0.9500000000000001
0.9500000000000001
0.95
0.9199999999999999
0.91
0.9
0.9
0.89
0.88
0.87
0.87
0.86
0.85
0.8400000000000001
0.8400000000000001
0.84
0.8200000000000001
0.82
0.8
0.8
0.78
0.77
0.77
0.76
0.74
0.73
0.73
0.72
0.7100000000000001
0.71
0.71
0.7
0.65
0.65
0.65
0.64
0.64
0.63
0.63
0.63
0.62
0.62
0.62
0.61
0.61
0.5900000000000001
0.59
0.59
0.5800000000000001
0.58
0.54
0.53
0.52
0.51
0.5
0.5
0.49
0.49
0.48000000000000004
0.48000000000000004
0.48
0.48
0.47
0.46
0.45
0.44
0.44
0.44
0.43999999999999995
0.43000000000000005
0.43
0.42
0.42
0.42
0.41000000000000003
0.41
0.4
0.4
0.4
0.4
0.39
0.38
0.38
0.38
0.36000000000000004
0.36
0.36
0.35000000000000003
0.35
0.35
0.34
0.33999999999999997
0.33
0.33
0.33
0.33
0.32
0.32
0.32
0.31
0.31
0.31
0.31
0.31
0.30000000000000004
0.30000000000000004
0.30000000000000004
0.30000000000000004
0.29000000000000004
0.29000000000000004
0.29000000000000004
0.29
0.28
0.28
0.28
0.27999999999999997
0.27999999999999997
0.27
0.27
0.27
0.27
0.27
0.27
0.27
0.26
0.26
0.26
0.25
0.25
0.25
0.24
0.24
0.23
0.23
0.23
0.23
0.22999999999999998
0.22
0.22
0.22
0.22
0.22
0.22
0.21000000000000002
0.21000000000000002
0.21
0.21
0.21
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.19
0.19
0.18000000000000002
0.18
0.18
0.17
0.17
0.17
0.17
0.17
0.16999999999999998
0.16
0.16
0.16
0.15
0.15
0.15
0.15
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.13
0.13
0.13
0.13
0.13
0.13
0.12
0.12
0.12
0.12
0.12
0.12
0.12
0.12
0.12
0.11
0.11
0.11
0.11
0.11
0.11
0.11
0.11
0.11
0.1
0.1
0.1
0.1
0.1
0.1
0.1
0.1
0.1
0.09999999999999999
0.09999999999999999
0.09000000000000001
0.09000000000000001
0.09
0.09
0.09
0.09
0.09
0.09
0.09
0.09
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.07
0.07
0.07
0.07
0.07
0.07
0.07
0.07
0.07
0.07
0.07
0.06999999999999999
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
